Dataset,Seed,Horizon,Model,MAE,MSE,QLIKE,Violation_Rate,Kupiec_LR,Kupiec_p,LR_Ind,N_eval,Seq_len
VN30_INDEX,202,21,Transformer,46.04297971189505,3191.8115564444215,10.729492173512455,0.0,,,,844,60
VN30_INDEX,202,1,GARCH-LSTM-Hybrid,26.757170305094817,1428.0712617175927,10.457236204892002,0.0,,,,844,60
VN30_INDEX,202,3,GARCH-LSTM-Hybrid,26.682628292434384,1423.2030034049055,10.456558026592996,0.0,,,,844,60
VN30_INDEX,202,5,GARCH-LSTM-Hybrid,26.616161190662112,1419.6503795120143,10.45467179839071,0.0,,,,844,60
VN30_INDEX,202,10,GARCH-LSTM-Hybrid,26.633301204783734,1422.999090081364,10.45374902717619,0.0,,,,844,60
VN30_INDEX,202,21,GARCH-LSTM-Hybrid,26.540929718265534,1420.6603737574515,10.464275967709142,0.0,,,,844,60
VN30_INDEX,303,1,GARCH,21.721418507192958,884.5571682247918,10.382322209839737,0.0,,,,844,60
VN30_INDEX,303,3,GARCH,21.71491406202714,884.3758821102974,10.381977825451509,0.0,,,,844,60
VN30_INDEX,303,5,GARCH,21.716385106114267,884.355742996664,10.380389638004146,0.0,,,,844,60
VN30_INDEX,303,10,GARCH,21.8036670977714,888.4496451399016,10.379644522476786,0.0,,,,844,60
VN30_INDEX,303,21,GARCH,21.870417644461593,892.5510590860382,10.391668060726506,0.0,,,,844,60
VN30_INDEX,303,1,GJR-GARCH,23.605971009013818,1124.8648836264242,10.401180535971548,0.0,,,,844,60
VN30_INDEX,303,3,GJR-GARCH,23.64056924729547,1125.6281065769142,10.40103186333673,0.0,,,,844,60
VN30_INDEX,303,5,GJR-GARCH,23.63169194257931,1125.5511192113588,10.399422515560696,0.0,,,,844,60
VN30_INDEX,303,10,GJR-GARCH,23.76277312787372,1134.0806246860707,10.398970415850625,0.0,,,,844,60
VN30_INDEX,303,21,GJR-GARCH,23.90178393983463,1139.7439453415516,10.411366603871546,0.0,,,,844,60
VN30_INDEX,303,1,FI-GARCH,23.10287644960871,951.2295257267687,10.388173259672868,0.0,,,,844,60
VN30_INDEX,303,3,FI-GARCH,23.083220795667433,950.9596025928427,10.387780765395041,0.0,,,,844,60
VN30_INDEX,303,5,FI-GARCH,23.109492672866192,951.7022068174846,10.386369205577251,0.0,,,,844,60
VN30_INDEX,303,10,FI-GARCH,23.251070734495073,958.9208319182486,10.38599012160354,0.0,,,,844,60
VN30_INDEX,303,21,FI-GARCH,23.255070422028155,961.8953368086076,10.397477813899792,0.0,,,,844,60
VN30_INDEX,303,1,Autoformer,34.76124279507384,2031.9050045502238,10.533390292356335,0.0,,,,844,60
VN30_INDEX,303,3,Autoformer,34.718819253747974,2030.1546318366084,10.53285828861233,0.0,,,,844,60
VN30_INDEX,303,5,Autoformer,34.73398418202488,2031.498081314856,10.531675405119321,0.0,,,,844,60
VN30_INDEX,303,10,Autoformer,34.745667407486955,2033.641320403923,10.530916883760518,0.0,,,,844,60
VN30_INDEX,303,21,Autoformer,34.25216749716597,2002.194469731416,10.538400999867646,0.0,,,,844,60
VN30_INDEX,303,1,Informer,46.31229134641757,3203.1500183088456,10.719460012764818,0.0,,,,844,60
VN30_INDEX,303,3,Informer,46.3312498734283,3203.5281338384398,10.719162685264445,0.0,,,,844,60
VN30_INDEX,303,5,Informer,46.405227629531176,3206.928591212674,10.718144027792793,0.0,,,,844,60
VN30_INDEX,303,10,Informer,46.4595073674334,3210.1168650233467,10.717447580052973,0.0,,,,844,60
VN30_INDEX,303,21,Informer,46.169563907410435,3193.6309851659175,10.726468866779033,0.0,,,,844,60
VN30_INDEX,303,1,Reformer,33.26896610357745,2014.913765606023,10.536453846330268,0.0,,,,844,60
VN30_INDEX,303,3,Reformer,33.125426078249724,2004.6338887794586,10.535361401413187,0.0,,,,844,60
VN30_INDEX,303,5,Reformer,33.06863892981905,2000.558936987485,10.533505595880166,0.0,,,,844,60
VN30_INDEX,303,10,Reformer,33.14126700913851,2007.0031916902492,10.5328953263536,0.0,,,,844,60
VN30_INDEX,303,21,Reformer,32.73022137366995,1971.366544226399,10.540335702554124,0.0,,,,844,60
VN30_INDEX,303,1,Transformer,46.77941820750474,3218.764510211581,10.711863881469089,0.0,,,,844,60
VN30_INDEX,303,3,Transformer,46.798339919421785,3219.2357641767294,10.711578687288176,0.0,,,,844,60
VN30_INDEX,303,5,Transformer,46.87231767552466,3223.00646372574,10.710602380582792,0.0,,,,844,60
VN30_INDEX,303,10,Transformer,46.926965550764265,3226.4892271595854,10.70993762988407,0.0,,,,844,60
VN30_INDEX,303,21,Transformer,46.58981992735233,3207.0257058190923,10.718584905506313,0.0,,,,844,60
VN30_INDEX,303,1,GARCH-LSTM-Hybrid,26.48007097298896,1333.801183651734,10.441892981232245,0.0,,,,844,60
VN30_INDEX,303,3,GARCH-LSTM-Hybrid,26.397847559144992,1329.4788218115032,10.44115543257848,0.0,,,,844,60
VN30_INDEX,303,5,GARCH-LSTM-Hybrid,26.349342109153973,1326.8824444095994,10.439378313649238,0.0,,,,844,60
VN30_INDEX,303,10,GARCH-LSTM-Hybrid,26.351792440615288,1329.496949796329,10.438342528141817,0.0,,,,844,60
VN30_INDEX,303,21,GARCH-LSTM-Hybrid,26.135567391446184,1320.9536965200182,10.448252804127522,0.0,,,,844,60
VN30_INDEX,404,1,GARCH,21.721418507192958,884.5571682247918,10.382322209839737,0.0,,,,844,60
VN30_INDEX,404,3,GARCH,21.71491406202714,884.3758821102974,10.381977825451509,0.0,,,,844,60
VN30_INDEX,404,5,GARCH,21.716385106114267,884.355742996664,10.380389638004146,0.0,,,,844,60
VN30_INDEX,404,10,GARCH,21.8036670977714,888.4496451399016,10.379644522476786,0.0,,,,844,60
VN30_INDEX,404,21,GARCH,21.870417644461593,892.5510590860382,10.391668060726506,0.0,,,,844,60
VN30_INDEX,404,1,GJR-GARCH,23.605971009013818,1124.8648836264242,10.401180535971548,0.0,,,,844,60
VN30_INDEX,404,3,GJR-GARCH,23.64056924729547,1125.6281065769142,10.40103186333673,0.0,,,,844,60
VN30_INDEX,404,5,GJR-GARCH,23.63169194257931,1125.5511192113588,10.399422515560696,0.0,,,,844,60
VN30_INDEX,404,10,GJR-GARCH,23.76277312787372,1134.0806246860707,10.398970415850625,0.0,,,,844,60
VN30_INDEX,404,21,GJR-GARCH,23.90178393983463,1139.7439453415516,10.411366603871546,0.0,,,,844,60
VN30_INDEX,404,1,FI-GARCH,23.10287644960871,951.2295257267687,10.388173259672868,0.0,,,,844,60
VN30_INDEX,404,3,FI-GARCH,23.083220795667433,950.9596025928427,10.387780765395041,0.0,,,,844,60
VN30_INDEX,404,5,FI-GARCH,23.109492672866192,951.7022068174846,10.386369205577251,0.0,,,,844,60
VN30_INDEX,404,10,FI-GARCH,23.251070734495073,958.9208319182486,10.38599012160354,0.0,,,,844,60
VN30_INDEX,404,21,FI-GARCH,23.255070422028155,961.8953368086076,10.397477813899792,0.0,,,,844,60
VN30_INDEX,404,1,Autoformer,35.552948473065165,2029.213172856128,10.530002812368995,0.0,,,,844,60
VN30_INDEX,404,3,Autoformer,35.51374475225549,2027.0988966339075,10.529463244463454,0.0,,,,844,60
VN30_INDEX,404,5,Autoformer,35.531820674680304,2028.7087322638538,10.528294715868586,0.0,,,,844,60
VN30_INDEX,404,10,Autoformer,35.50811954971225,2026.6453137783117,10.527190092349219,0.0,,,,844,60
VN30_INDEX,404,21,Autoformer,34.99158926282901,1995.2006039340104,10.53457523113166,0.0,,,,844,60
VN30_INDEX,404,1,Informer,46.62850367748822,3212.8463145642077,10.714092828059774,0.0,,,,844,60
VN30_INDEX,404,3,Informer,46.64746220449895,3213.289303569035,10.713804036323381,0.0,,,,844,60
VN30_INDEX,404,5,Informer,46.72143996060182,3216.9429026628527,10.7128146227654,0.0,,,,844,60
VN30_INDEX,404,10,Informer,46.77571969850404,3220.3169142806046,10.712138168848968,0.0,,,,844,60
VN30_INDEX,404,21,Informer,46.4533415215418,3201.7891420682604,10.720900469863366,0.0,,,,844,60
VN30_INDEX,404,1,Reformer,29.857339082743394,1916.5759685985386,10.536686894181994,0.0,,,,844,60
VN30_INDEX,404,3,Reformer,29.87390496013715,1916.790854348557,10.536380666592057,0.0,,,,844,60
VN30_INDEX,404,5,Reformer,29.90187533971554,1917.1812780115135,10.53488424767943,0.0,,,,844,60
VN30_INDEX,404,10,Reformer,30.00285139490107,1924.0040051043497,10.534371127490985,0.0,,,,844,60
VN30_INDEX,404,21,Reformer,29.91909926831083,1922.31984676452,10.545328318737594,0.0,,,,844,60
VN30_INDEX,404,1,Transformer,46.5442186317922,3209.8238344306455,10.715356343887386,0.0,,,,844,60
VN30_INDEX,404,3,Transformer,46.56317715880293,3210.2503167515156,10.71506541548036,0.0,,,,844,60
VN30_INDEX,404,5,Transformer,46.6371549149058,3213.839505385645,10.714068681592114,0.0,,,,844,60
VN30_INDEX,404,10,Transformer,46.69143465280803,3217.1662570829253,10.71338722282605,0.0,,,,844,60
VN30_INDEX,404,21,Transformer,46.37730930367428,3199.1580326773637,10.722214353088852,0.0,,,,844,60
VN30_INDEX,404,1,GARCH-LSTM-Hybrid,27.17852140706928,1443.6428750548746,10.451363508646715,0.0,,,,844,60
VN30_INDEX,404,3,GARCH-LSTM-Hybrid,27.106400406339127,1439.6605788594193,10.450681450916822,0.0,,,,844,60
VN30_INDEX,404,5,GARCH-LSTM-Hybrid,27.057550311465654,1437.3537260454393,10.448903918394183,0.0,,,,844,60
VN30_INDEX,404,10,GARCH-LSTM-Hybrid,27.085588779908228,1441.7017586395484,10.448053930402356,0.0,,,,844,60
VN30_INDEX,404,21,GARCH-LSTM-Hybrid,26.928823202642267,1436.105799625798,10.458398019250682,0.0,,,,844,60
DAX_40,42,1,GARCH,12.259277931582611,236.15940875357154,9.976677532341986,0.0,,,,891,60
DAX_40,42,3,GARCH,12.163884172581744,231.46466404285184,9.974273216908975,0.0,,,,891,60
DAX_40,42,5,GARCH,12.085050935743226,228.18142155394884,9.972422225648902,0.0,,,,891,60
DAX_40,42,10,GARCH,12.02721092172209,225.56054077587598,9.96678989301032,0.0,,,,891,60
DAX_40,42,21,GARCH,12.120691709591453,227.48355126126793,9.946172554907871,0.0,,,,891,60
DAX_40,42,1,GJR-GARCH,17.728588148017543,567.125294733448,10.011596050149153,0.0,,,,891,60
DAX_40,42,3,GJR-GARCH,17.605176818609472,559.571006823517,10.007795420442672,0.0,,,,891,60
DAX_40,42,5,GJR-GARCH,17.50902220543896,554.5893938959132,10.00523237494918,0.0,,,,891,60
DAX_40,42,10,GJR-GARCH,17.300291174110818,544.7355535314424,9.999358028679561,0.0,,,,891,60
DAX_40,42,21,GJR-GARCH,16.89738201584354,520.4198093365073,9.977364831307778,0.0,,,,891,60
DAX_40,42,1,FI-GARCH,13.726300158936908,321.06125527363037,9.983704418893284,0.0,,,,891,60
DAX_40,42,3,FI-GARCH,13.630573934483666,315.6959097243103,9.981014199737348,0.0,,,,891,60
DAX_40,42,5,FI-GARCH,13.562456785534769,312.525222733218,9.979190020892926,0.0,,,,891,60
DAX_40,42,10,FI-GARCH,13.509538308930376,309.33355077366673,9.973472650872637,0.0,,,,891,60
DAX_40,42,21,FI-GARCH,13.498948971231274,309.25994334798895,9.952580155218751,0.0,,,,891,60
DAX_40,42,1,Autoformer,24.51055873351828,1072.9213187586531,10.11015095769263,0.0,,,,891,60
DAX_40,42,3,Autoformer,24.478862583428093,1070.6031999127965,10.108595597637187,0.0,,,,891,60
DAX_40,42,5,Autoformer,24.465138860990923,1070.4722416043903,10.107557984108432,0.0,,,,891,60
DAX_40,42,10,Autoformer,24.316139723399527,1061.5866583313814,10.102016646932876,0.0,,,,891,60
DAX_40,42,21,Autoformer,24.40728763134435,1065.1280380533863,10.082258516538388,0.0,,,,891,60
DAX_40,42,1,Informer,41.67655896890192,2125.4751236521365,10.26053066624305,0.0,,,,891,60
DAX_40,42,3,Informer,41.7163209577835,2126.5469373769456,10.259555374038642,0.0,,,,891,60
DAX_40,42,5,Informer,41.76659529492209,2127.8004871645458,10.258716979491993,0.0,,,,891,60
DAX_40,42,10,Informer,41.80046404525131,2129.555819666982,10.253888430921645,0.0,,,,891,60
DAX_40,42,21,Informer,42.12441990372239,2158.943640028061,10.238062096323443,0.0,,,,891,60
DAX_40,42,1,Reformer,23.77590777498114,982.8652697732969,10.098317842504606,0.0,,,,891,60
DAX_40,42,3,Reformer,23.716076427801525,978.7625811643684,10.096023047167343,0.0,,,,891,60
DAX_40,42,5,Reformer,23.696573125097004,978.2573689440007,10.094905931273576,0.0,,,,891,60
DAX_40,42,10,Reformer,23.706795215630017,978.3353070891836,10.089954120278513,0.0,,,,891,60
DAX_40,42,21,Reformer,23.739090079800622,979.3879356144058,10.069299588549356,0.0,,,,891,60
DAX_40,42,1,Transformer,41.85181852981072,2148.751423116669,10.264140940269133,0.0,,,,891,60
DAX_40,42,3,Transformer,41.892276743984254,2149.8578536438154,10.263170047534345,0.0,,,,891,60
DAX_40,42,5,Transformer,41.94390871703196,2151.1444747777846,10.262335738434773,0.0,,,,891,60
DAX_40,42,10,Transformer,41.980736373414615,2153.0560194957343,10.257528167880748,0.0,,,,891,60
DAX_40,42,21,Transformer,42.3115499490625,2183.0486816369303,10.241774196468048,0.0,,,,891,60
DAX_40,42,1,GARCH-LSTM-Hybrid,25.86879371889178,1165.8175157455569,10.14474857940502,0.0,,,,891,60
DAX_40,42,3,GARCH-LSTM-Hybrid,25.810718088185315,1161.1946600907975,10.142185120088476,0.0,,,,891,60
DAX_40,42,5,GARCH-LSTM-Hybrid,25.786346942006702,1160.2313168947223,10.140964295818705,0.0,,,,891,60
DAX_40,42,10,GARCH-LSTM-Hybrid,25.698172352619395,1151.7435553726075,10.136769590821954,0.0,,,,891,60
DAX_40,42,21,GARCH-LSTM-Hybrid,25.585455522066255,1142.6763432985185,10.115985109936041,0.0,,,,891,60
DAX_40,123,1,GARCH,12.259277931582611,236.15940875357154,9.976677532341986,0.0,,,,891,60
DAX_40,123,3,GARCH,12.163884172581744,231.46466404285184,9.974273216908975,0.0,,,,891,60
DAX_40,123,5,GARCH,12.085050935743226,228.18142155394884,9.972422225648902,0.0,,,,891,60
DAX_40,123,10,GARCH,12.02721092172209,225.56054077587598,9.96678989301032,0.0,,,,891,60
DAX_40,123,21,GARCH,12.120691709591453,227.48355126126793,9.946172554907871,0.0,,,,891,60
DAX_40,123,1,GJR-GARCH,17.728588148017543,567.125294733448,10.011596050149153,0.0,,,,891,60
DAX_40,123,3,GJR-GARCH,17.605176818609472,559.571006823517,10.007795420442672,0.0,,,,891,60
DAX_40,123,5,GJR-GARCH,17.50902220543896,554.5893938959132,10.00523237494918,0.0,,,,891,60
DAX_40,123,10,GJR-GARCH,17.300291174110818,544.7355535314424,9.999358028679561,0.0,,,,891,60
DAX_40,123,21,GJR-GARCH,16.89738201584354,520.4198093365073,9.977364831307778,0.0,,,,891,60
DAX_40,123,1,FI-GARCH,13.726300158936908,321.06125527363037,9.983704418893284,0.0,,,,891,60
DAX_40,123,3,FI-GARCH,13.630573934483666,315.6959097243103,9.981014199737348,0.0,,,,891,60
DAX_40,123,5,FI-GARCH,13.562456785534769,312.525222733218,9.979190020892926,0.0,,,,891,60
DAX_40,123,10,FI-GARCH,13.509538308930376,309.33355077366673,9.973472650872637,0.0,,,,891,60
DAX_40,123,21,FI-GARCH,13.498948971231274,309.25994334798895,9.952580155218751,0.0,,,,891,60
DAX_40,123,1,Autoformer,24.60913710968708,1086.250690960493,10.115425748190997,0.0,,,,891,60
DAX_40,123,3,Autoformer,24.57741547435832,1083.865898342903,10.113860545378897,0.0,,,,891,60
DAX_40,123,5,Autoformer,24.56548222231182,1083.7566280450687,10.112825441477442,0.0,,,,891,60
DAX_40,123,10,Autoformer,24.41533534841311,1074.4240680829353,10.107288190738227,0.0,,,,891,60
DAX_40,123,21,Autoformer,24.494041910882792,1077.4259556509796,10.0874237910209,0.0,,,,891,60
DAX_40,123,1,Informer,41.77064549379385,2141.5720581508685,10.263462586644874,0.0,,,,891,60
DAX_40,123,3,Informer,41.81082524129151,2142.6627489378757,10.262489704655627,0.0,,,,891,60
DAX_40,123,5,Informer,41.86190028098748,2143.935501049456,10.26165368614673,0.0,,,,891,60
DAX_40,123,10,Informer,41.89733560399075,2145.7727560456174,10.256836265399357,0.0,,,,891,60
DAX_40,123,21,Informer,42.22508604620405,2175.4977060396227,10.241050015799022,0.0,,,,891,60
DAX_40,123,1,Reformer,25.297857070358923,1050.640883848099,10.111388782948973,0.0,,,,891,60
DAX_40,123,3,Reformer,25.232486582770296,1046.6069564472768,10.109208072441541,0.0,,,,891,60
DAX_40,123,5,Reformer,25.25004684543601,1047.1860175127233,10.108238889801703,0.0,,,,891,60
DAX_40,123,10,Reformer,25.235599194283797,1046.9052154245448,10.103186253187651,0.0,,,,891,60
DAX_40,123,21,Reformer,25.36944373701139,1051.5613779558619,10.083260346987943,0.0,,,,891,60
DAX_40,123,1,Transformer,39.78695422718219,2088.8730435438156,10.257046447901226,0.0,,,,891,60
DAX_40,123,3,Transformer,39.791234478030155,2088.8390581875606,10.255908711062432,0.0,,,,891,60
DAX_40,123,5,Transformer,39.81987911222213,2090.0181708559994,10.255045038959876,0.0,,,,891,60
DAX_40,123,10,Transformer,39.8321044191879,2089.4642444617784,10.249821364548414,0.0,,,,891,60
DAX_40,123,21,Transformer,40.05430741912961,2108.3451200050927,10.232272085837703,0.0,,,,891,60
DAX_40,123,1,GARCH-LSTM-Hybrid,27.166325817026596,1249.24989126382,10.108433056894482,0.0,,,,891,60
DAX_40,123,3,GARCH-LSTM-Hybrid,27.10023726801256,1245.4722351460894,10.106331616720178,0.0,,,,891,60
DAX_40,123,5,GARCH-LSTM-Hybrid,27.091680627872467,1245.111513020935,10.105230426321533,0.0,,,,891,60
DAX_40,123,10,GARCH-LSTM-Hybrid,26.93254098170472,1231.3421432372418,10.099663369192882,0.0,,,,891,60
DAX_40,123,21,GARCH-LSTM-Hybrid,26.928449375727254,1224.2711868332171,10.079463192963084,0.0,,,,891,60
DAX_40,202,1,GARCH,12.259277931582611,236.15940875357154,9.976677532341986,0.0,,,,891,60
DAX_40,202,3,GARCH,12.163884172581744,231.46466404285184,9.974273216908975,0.0,,,,891,60
DAX_40,202,5,GARCH,12.085050935743226,228.18142155394884,9.972422225648902,0.0,,,,891,60
DAX_40,202,10,GARCH,12.02721092172209,225.56054077587598,9.96678989301032,0.0,,,,891,60
DAX_40,202,21,GARCH,12.120691709591453,227.48355126126793,9.946172554907871,0.0,,,,891,60
DAX_40,202,1,GJR-GARCH,17.728588148017543,567.125294733448,10.011596050149153,0.0,,,,891,60
DAX_40,202,3,GJR-GARCH,17.605176818609472,559.571006823517,10.007795420442672,0.0,,,,891,60
DAX_40,202,5,GJR-GARCH,17.50902220543896,554.5893938959132,10.00523237494918,0.0,,,,891,60
DAX_40,202,10,GJR-GARCH,17.300291174110818,544.7355535314424,9.999358028679561,0.0,,,,891,60
DAX_40,202,21,GJR-GARCH,16.89738201584354,520.4198093365073,9.977364831307778,0.0,,,,891,60
DAX_40,202,1,FI-GARCH,13.726300158936908,321.06125527363037,9.983704418893284,0.0,,,,891,60
DAX_40,202,3,FI-GARCH,13.630573934483666,315.6959097243103,9.981014199737348,0.0,,,,891,60
DAX_40,202,5,FI-GARCH,13.562456785534769,312.525222733218,9.979190020892926,0.0,,,,891,60
DAX_40,202,10,FI-GARCH,13.509538308930376,309.33355077366673,9.973472650872637,0.0,,,,891,60
DAX_40,202,21,FI-GARCH,13.498948971231274,309.25994334798895,9.952580155218751,0.0,,,,891,60
DAX_40,202,1,Autoformer,25.05269180306468,1109.415447263186,10.114832112680046,0.0,,,,891,60
DAX_40,202,3,Autoformer,25.02142078581257,1107.1093761431184,10.113286062975087,0.0,,,,891,60
DAX_40,202,5,Autoformer,25.0036244561636,1106.8898639633844,10.112238540451136,0.0,,,,891,60
DAX_40,202,10,Autoformer,24.842767039621645,1096.6407324089803,10.106636846252652,0.0,,,,891,60
DAX_40,202,21,Autoformer,24.933975584031334,1100.3468234644674,10.086932561772025,0.0,,,,891,60
DAX_40,202,1,Informer,41.428444159672125,2111.4850618817773,10.260611793454762,0.0,,,,891,60
DAX_40,202,3,Informer,41.46686949269167,2112.5088383626157,10.259630385936546,0.0,,,,891,60
DAX_40,202,5,Informer,41.515576843437,2113.7226291443285,10.25878704125644,0.0,,,,891,60
DAX_40,202,10,Informer,41.54509294406368,2115.2440564873723,10.253927404638484,0.0,,,,891,60
DAX_40,202,21,Informer,41.85982109704848,2143.830882698941,10.238002817470178,0.0,,,,891,60
DAX_40,202,1,Reformer,26.89798347847364,1192.619043994191,10.121516896807993,0.0,,,,891,60
DAX_40,202,3,Reformer,26.849880964228163,1189.5913844255697,10.119675746136982,0.0,,,,891,60
DAX_40,202,5,Reformer,26.83058522619242,1189.116382867555,10.118565141879591,0.0,,,,891,60
DAX_40,202,10,Reformer,26.81931900718153,1188.428497019551,10.113604408536878,0.0,,,,891,60
DAX_40,202,21,Reformer,26.891201287283852,1191.2339956749795,10.093617208813829,0.0,,,,891,60
DAX_40,202,1,Transformer,36.52586498549486,1716.3234869267826,10.2193544921846,0.0,,,,891,60
DAX_40,202,3,Transformer,36.530263120499036,1716.389866648012,10.218238198597856,0.0,,,,891,60
DAX_40,202,5,Transformer,36.54971589413878,1716.8363211204937,10.2172906584741,0.0,,,,891,60
DAX_40,202,10,Transformer,36.50670437314679,1714.5013206025772,10.2118748274992,0.0,,,,891,60
DAX_40,202,21,Transformer,36.64759019171042,1727.6560077895006,10.19392171080347,0.0,,,,891,60
DAX_40,202,1,GARCH-LSTM-Hybrid,27.575870582309314,1261.749420828457,10.145287730912353,0.0,,,,891,60
DAX_40,202,3,GARCH-LSTM-Hybrid,27.519495132195956,1258.0707305877024,10.143137561430683,0.0,,,,891,60
DAX_40,202,5,GARCH-LSTM-Hybrid,27.511521674774496,1257.7219195643286,10.142046963359903,0.0,,,,891,60
DAX_40,202,10,GARCH-LSTM-Hybrid,27.380592018983542,1245.7834800497292,10.13716633415713,0.0,,,,891,60
DAX_40,202,21,GARCH-LSTM-Hybrid,27.33318735190614,1238.3026562263283,10.116844108950984,0.0,,,,891,60
DAX_40,303,1,GARCH,12.259277931582611,236.15940875357154,9.976677532341986,0.0,,,,891,60
DAX_40,303,3,GARCH,12.163884172581744,231.46466404285184,9.974273216908975,0.0,,,,891,60
DAX_40,303,5,GARCH,12.085050935743226,228.18142155394884,9.972422225648902,0.0,,,,891,60
DAX_40,303,10,GARCH,12.02721092172209,225.56054077587598,9.96678989301032,0.0,,,,891,60
DAX_40,303,21,GARCH,12.120691709591453,227.48355126126793,9.946172554907871,0.0,,,,891,60
DAX_40,303,1,GJR-GARCH,17.728588148017543,567.125294733448,10.011596050149153,0.0,,,,891,60
DAX_40,303,3,GJR-GARCH,17.605176818609472,559.571006823517,10.007795420442672,0.0,,,,891,60
DAX_40,303,5,GJR-GARCH,17.50902220543896,554.5893938959132,10.00523237494918,0.0,,,,891,60
DAX_40,303,10,GJR-GARCH,17.300291174110818,544.7355535314424,9.999358028679561,0.0,,,,891,60
DAX_40,303,21,GJR-GARCH,16.89738201584354,520.4198093365073,9.977364831307778,0.0,,,,891,60
DAX_40,303,1,FI-GARCH,13.726300158936908,321.06125527363037,9.983704418893284,0.0,,,,891,60
DAX_40,303,3,FI-GARCH,13.630573934483666,315.6959097243103,9.981014199737348,0.0,,,,891,60
DAX_40,303,5,FI-GARCH,13.562456785534769,312.525222733218,9.979190020892926,0.0,,,,891,60
DAX_40,303,10,FI-GARCH,13.509538308930376,309.33355077366673,9.973472650872637,0.0,,,,891,60
DAX_40,303,21,FI-GARCH,13.498948971231274,309.25994334798895,9.952580155218751,0.0,,,,891,60
DAX_40,303,1,Autoformer,26.00233959351044,1167.5659383868713,10.118322243214763,0.0,,,,891,60
DAX_40,303,3,Autoformer,25.974836789666856,1165.4591080453488,10.116835207706133,0.0,,,,891,60
DAX_40,303,5,Autoformer,25.95926987425965,1165.239578302118,10.115789292534018,0.0,,,,891,60
DAX_40,303,10,Autoformer,25.765270604461392,1152.8867848612288,10.110022180716323,0.0,,,,891,60
DAX_40,303,21,Autoformer,25.857948882634012,1156.6403357315583,10.090385102013716,0.0,,,,891,60
DAX_40,303,1,Informer,41.5078230335018,2118.446126909345,10.261272070114023,0.0,,,,891,60
DAX_40,303,3,Informer,41.54680558284494,2119.485651127515,10.260292679064657,0.0,,,,891,60
DAX_40,303,5,Informer,41.596070149913864,2120.7133179783186,10.259451067179791,0.0,,,,891,60
DAX_40,303,10,Informer,41.62697929134952,2122.3090727889585,10.254601415512713,0.0,,,,891,60
DAX_40,303,21,Informer,41.94477213411405,2151.163747169379,10.238709548120204,0.0,,,,891,60
DAX_40,303,1,Reformer,25.608826377170125,1122.5578078269766,10.163840860889081,0.0,,,,891,60
DAX_40,303,3,Reformer,25.56540621466052,1119.7080542416998,10.162095791801706,0.0,,,,891,60
DAX_40,303,5,Reformer,25.567607338555167,1119.684948392718,10.161052816663586,0.0,,,,891,60
DAX_40,303,10,Reformer,25.577154372104122,1120.0228634531363,10.156515175905765,0.0,,,,891,60
DAX_40,303,21,Reformer,25.577620569133984,1120.7833870572356,10.135922264147574,0.0,,,,891,60
DAX_40,303,1,Transformer,41.162065451969035,2087.8623096476867,10.258292529323228,0.0,,,,891,60
DAX_40,303,3,Transformer,41.19850519771917,2088.830906109385,10.257304006289694,0.0,,,,891,60
DAX_40,303,5,Transformer,41.24540116347841,2089.9995045613073,10.256454982008115,0.0,,,,891,60
DAX_40,303,10,Transformer,41.27073716742693,2091.2912231897753,10.25156470638046,0.0,,,,891,60
DAX_40,303,21,Transformer,41.57609493908624,2119.031417424906,10.235538467304309,0.0,,,,891,60
DAX_40,303,1,GARCH-LSTM-Hybrid,25.86778798827456,1111.2116746480203,10.130588368993982,0.0,,,,891,60
DAX_40,303,3,GARCH-LSTM-Hybrid,25.809749497593298,1107.439514060997,10.12842486665631,0.0,,,,891,60
DAX_40,303,5,GARCH-LSTM-Hybrid,25.797131248774953,1107.0095906606252,10.127325153179461,0.0,,,,891,60
DAX_40,303,10,GARCH-LSTM-Hybrid,25.671729859903582,1097.6821357193012,10.122631065160666,0.0,,,,891,60
DAX_40,303,21,GARCH-LSTM-Hybrid,25.523088889180517,1087.3202789111217,10.101918070749944,0.0,,,,891,60
DAX_40,404,1,GARCH,12.259277931582611,236.15940875357154,9.976677532341986,0.0,,,,891,60
DAX_40,404,3,GARCH,12.163884172581744,231.46466404285184,9.974273216908975,0.0,,,,891,60
DAX_40,404,5,GARCH,12.085050935743226,228.18142155394884,9.972422225648902,0.0,,,,891,60
DAX_40,404,10,GARCH,12.02721092172209,225.56054077587598,9.96678989301032,0.0,,,,891,60
DAX_40,404,21,GARCH,12.120691709591453,227.48355126126793,9.946172554907871,0.0,,,,891,60
DAX_40,404,1,GJR-GARCH,17.728588148017543,567.125294733448,10.011596050149153,0.0,,,,891,60
DAX_40,404,3,GJR-GARCH,17.605176818609472,559.571006823517,10.007795420442672,0.0,,,,891,60
DAX_40,404,5,GJR-GARCH,17.50902220543896,554.5893938959132,10.00523237494918,0.0,,,,891,60
DAX_40,404,10,GJR-GARCH,17.300291174110818,544.7355535314424,9.999358028679561,0.0,,,,891,60
DAX_40,404,21,GJR-GARCH,16.89738201584354,520.4198093365073,9.977364831307778,0.0,,,,891,60
DAX_40,404,1,FI-GARCH,13.726300158936908,321.06125527363037,9.983704418893284,0.0,,,,891,60
DAX_40,404,3,FI-GARCH,13.630573934483666,315.6959097243103,9.981014199737348,0.0,,,,891,60
