Dataset,Seed,Horizon,Model,MAE,MSE,QLIKE,Violation_Rate,Kupiec_LR,Kupiec_p,LR_Ind,N_eval,Seq_len
VN30_INDEX,42,1,GARCH,21.721418507192958,884.5571682247918,10.382322209839737,0.0,,,,844,60
VN30_INDEX,42,3,GARCH,21.71491406202714,884.3758821102974,10.381977825451509,0.0,,,,844,60
VN30_INDEX,42,5,GARCH,21.716385106114267,884.355742996664,10.380389638004146,0.0,,,,844,60
VN30_INDEX,42,10,GARCH,21.8036670977714,888.4496451399016,10.379644522476786,0.0,,,,844,60
VN30_INDEX,42,21,GARCH,21.870417644461593,892.5510590860382,10.391668060726506,0.0,,,,844,60
VN30_INDEX,42,1,GJR-GARCH,23.605971009013818,1124.8648836264242,10.401180535971548,0.0,,,,844,60
VN30_INDEX,42,3,GJR-GARCH,23.64056924729547,1125.6281065769142,10.40103186333673,0.0,,,,844,60
VN30_INDEX,42,5,GJR-GARCH,23.63169194257931,1125.5511192113588,10.399422515560696,0.0,,,,844,60
VN30_INDEX,42,10,GJR-GARCH,23.76277312787372,1134.0806246860707,10.398970415850625,0.0,,,,844,60
VN30_INDEX,42,21,GJR-GARCH,23.90178393983463,1139.7439453415516,10.411366603871546,0.0,,,,844,60
VN30_INDEX,42,1,FI-GARCH,23.10287644960871,951.2295257267687,10.388173259672868,0.0,,,,844,60
VN30_INDEX,42,3,FI-GARCH,23.083220795667433,950.9596025928427,10.387780765395041,0.0,,,,844,60
VN30_INDEX,42,5,FI-GARCH,23.109492672866192,951.7022068174846,10.386369205577251,0.0,,,,844,60
VN30_INDEX,42,10,FI-GARCH,23.251070734495073,958.9208319182486,10.38599012160354,0.0,,,,844,60
VN30_INDEX,42,21,FI-GARCH,23.255070422028155,961.8953368086076,10.397477813899792,0.0,,,,844,60
VN30_INDEX,42,1,Autoformer,35.437773282307525,2012.7439857266354,10.525862962907814,0.0,,,,844,60
VN30_INDEX,42,3,Autoformer,35.40069795672967,2010.6902956587314,10.525332862601632,0.0,,,,844,60
VN30_INDEX,42,5,Autoformer,35.41726821767599,2012.1872248156678,10.524157721413586,0.0,,,,844,60
VN30_INDEX,42,10,Autoformer,35.38271803278214,2009.1297861501625,10.522969932785164,0.0,,,,844,60
VN30_INDEX,42,21,Autoformer,34.84794143746504,1976.9241794953255,10.530282188699642,0.0,,,,844,60
VN30_INDEX,42,1,Informer,46.580168563355706,3211.072872375251,10.714806426134523,0.0,,,,844,60
VN30_INDEX,42,3,Informer,46.59912709036644,3211.5064295507314,10.714516416410142,0.0,,,,844,60
VN30_INDEX,42,5,Informer,46.67310484646931,3215.1232248585475,10.713522829970199,0.0,,,,844,60
VN30_INDEX,42,10,Informer,46.727384584371535,3218.470232415036,10.71284352308867,0.0,,,,844,60
VN30_INDEX,42,21,Informer,46.40972202830027,3200.2393269909544,10.721642779375772,0.0,,,,844,60
VN30_INDEX,42,1,Reformer,30.701669157970354,1737.0875938390398,10.492584918285134,0.0,,,,844,60
VN30_INDEX,42,3,Reformer,30.695801773990812,1736.914294987529,10.492244518484577,0.0,,,,844,60
VN30_INDEX,42,5,Reformer,30.69546232207891,1736.8757500981587,10.490697840503078,0.0,,,,844,60
VN30_INDEX,42,10,Reformer,30.84176414051087,1748.0995890139038,10.490545380993458,0.0,,,,844,60
VN30_INDEX,42,21,Reformer,30.79642260695161,1749.139847470543,10.501308588510778,0.0,,,,844,60
VN30_INDEX,42,1,Transformer,46.55018772305655,3210.0271738780616,10.715263813518703,0.0,,,,844,60
VN30_INDEX,42,3,Transformer,46.56914625006729,3210.4548353521445,10.714973038529731,0.0,,,,844,60
VN30_INDEX,42,5,Transformer,46.64312400617017,3214.0486251406096,10.713976830258673,0.0,,,,844,60
VN30_INDEX,42,10,Transformer,46.69740374407238,3217.3787528452817,10.71329573085276,0.0,,,,844,60
VN30_INDEX,42,21,Transformer,46.38268885506068,3199.333414597414,10.72211820622077,0.0,,,,844,60
VN30_INDEX,42,1,GARCH-LSTM-Hybrid,26.26944379697107,1359.532109513294,10.436381727995359,0.0,,,,844,60
VN30_INDEX,42,3,GARCH-LSTM-Hybrid,26.17327789946643,1353.273350678364,10.435545080600699,0.0,,,,844,60
VN30_INDEX,42,5,GARCH-LSTM-Hybrid,26.106527261306983,1349.1315208140086,10.433657949615817,0.0,,,,844,60
VN30_INDEX,42,10,GARCH-LSTM-Hybrid,26.13966832744041,1352.8058552335742,10.432789521642212,0.0,,,,844,60
VN30_INDEX,42,21,GARCH-LSTM-Hybrid,26.01241973407811,1350.100514769861,10.443694825795943,0.0,,,,844,60
VN30_INDEX,123,1,GARCH,21.721418507192958,884.5571682247918,10.382322209839737,0.0,,,,844,60
VN30_INDEX,123,3,GARCH,21.71491406202714,884.3758821102974,10.381977825451509,0.0,,,,844,60
VN30_INDEX,123,5,GARCH,21.716385106114267,884.355742996664,10.380389638004146,0.0,,,,844,60
VN30_INDEX,123,10,GARCH,21.8036670977714,888.4496451399016,10.379644522476786,0.0,,,,844,60
VN30_INDEX,123,21,GARCH,21.870417644461593,892.5510590860382,10.391668060726506,0.0,,,,844,60
VN30_INDEX,123,1,GJR-GARCH,23.605971009013818,1124.8648836264242,10.401180535971548,0.0,,,,844,60
VN30_INDEX,123,3,GJR-GARCH,23.64056924729547,1125.6281065769142,10.40103186333673,0.0,,,,844,60
VN30_INDEX,123,5,GJR-GARCH,23.63169194257931,1125.5511192113588,10.399422515560696,0.0,,,,844,60
VN30_INDEX,123,10,GJR-GARCH,23.76277312787372,1134.0806246860707,10.398970415850625,0.0,,,,844,60
VN30_INDEX,123,21,GJR-GARCH,23.90178393983463,1139.7439453415516,10.411366603871546,0.0,,,,844,60
VN30_INDEX,123,1,FI-GARCH,23.10287644960871,951.2295257267687,10.388173259672868,0.0,,,,844,60
VN30_INDEX,123,3,FI-GARCH,23.083220795667433,950.9596025928427,10.387780765395041,0.0,,,,844,60
VN30_INDEX,123,5,FI-GARCH,23.109492672866192,951.7022068174846,10.386369205577251,0.0,,,,844,60
VN30_INDEX,123,10,FI-GARCH,23.251070734495073,958.9208319182486,10.38599012160354,0.0,,,,844,60
VN30_INDEX,123,21,FI-GARCH,23.255070422028155,961.8953368086076,10.397477813899792,0.0,,,,844,60
VN30_INDEX,123,1,Autoformer,36.82782254856704,2157.3058544762025,10.552885889968884,0.0,,,,844,60
VN30_INDEX,123,3,Autoformer,36.79834908002207,2156.0336629030735,10.552408940788535,0.0,,,,844,60
VN30_INDEX,123,5,Autoformer,36.82725943250915,2158.243070978856,10.551271324848088,0.0,,,,844,60
VN30_INDEX,123,10,Autoformer,36.821685993596766,2158.1144644834458,10.550278694901783,0.0,,,,844,60
VN30_INDEX,123,21,Autoformer,36.368636214633085,2132.0813768443318,10.558197243784292,0.0,,,,844,60
VN30_INDEX,123,1,Informer,46.99566336328499,3229.7310213111464,10.709501624626018,0.0,,,,844,60
VN30_INDEX,123,3,Informer,47.014621890295736,3230.24351429873,10.70922157637479,0.0,,,,844,60
VN30_INDEX,123,5,Informer,47.08859964639861,3234.168323739304,10.708262118392676,0.0,,,,844,60
VN30_INDEX,123,10,Informer,47.14287938430084,3237.741330667455,10.707606144857222,0.0,,,,844,60
VN30_INDEX,123,21,Informer,46.78575138086799,3217.0259208957077,10.716103157640353,0.0,,,,844,60
VN30_INDEX,123,1,Reformer,32.12213882039808,2143.608663069167,10.574561126427964,0.0,,,,844,60
VN30_INDEX,123,3,Reformer,32.12102924784534,2143.5927007472005,10.574211408231822,0.0,,,,844,60
VN30_INDEX,123,5,Reformer,32.149286381766096,2144.23310354682,10.57277260577487,0.0,,,,844,60
VN30_INDEX,123,10,Reformer,32.24522078621657,2149.8962257790513,10.572192454135203,0.0,,,,844,60
VN30_INDEX,123,21,Reformer,32.08547190991605,2144.756897232901,10.582646232122912,0.0,,,,844,60
VN30_INDEX,123,1,Transformer,45.63933817839979,3150.721104649055,10.716881800396205,0.0,,,,844,60
VN30_INDEX,123,3,Transformer,45.658296705410535,3151.026021625487,10.716574379368872,0.0,,,,844,60
VN30_INDEX,123,5,Transformer,45.73227446151339,3154.140852130614,10.715521141017065,0.0,,,,844,60
VN30_INDEX,123,10,Transformer,45.80051809411695,3157.780093665142,10.714882462996494,0.0,,,,844,60
VN30_INDEX,123,21,Transformer,45.5331347348423,3143.1503917598,10.72414311829168,0.0,,,,844,60
